Num Of Trading Min,OrderType,LastBuyScore,Position Num of Buys,Position Current Price Real,Position Current Price 10 Min avg,Security Trade Signal,Security Trade Signal Reason,Security Trade Score,Opp Security,Opp Security Trade Score,BuyReason,Open Price,Previous Closing Price,Short MAVG 5,Long MAVG 13,Short MAVG Min,Long MAVG Min,MAVG Min Diff,ATR Stoploss Range,ATR Stoploss,Slope 15 Min,Slope 15 Min Win Diff,RSI,Previous Day RSI,RSI Slope,RSI Gain Percent,Last AB Pattern,Last AB Date,Last AB Age,Last AB Stop-Loss Level,Last AB Total Net,Last AB Net Age Ratio,Last Confirmation Age,Last Confirmed Signal,Last Confirmed AB Confirmation Level,Last Confirmed AB Confirmation Date,Last Confirmed AB Age,Last Confirmed AB Total Net,Position Amount,Position Cost Basis,Position Gain Loss,Position Gain Loss Percent,Position Last Buy DT,Position Num of Days Held,Position Gain Avg Per Day,Position Held Max High,Position Held Max Gain,Position Held Max Gain Percent,Position Held Max Gain Loss Ratio,Position Day High,Position Day High Gain Loss Percent,Position Day High Trail Percent,Position Day Slope High,Position Day Slope Trail,Daily Current Gain Loss Percent,Daily Max Gain Percent,Daily Max Gain Loss Ratio,Daily Max Loss Percent,Daily Max Loss Ratio,Daily Current Gain Loss Percent From Open,Daily Max Gain Percent From Open,Daily Max Gain Loss Ratio From Open,Daily Current Gain Loss Diff From Open Close,Position Trailing Stop,Position Trailing Percent,Position Trailing Loss Percent,Position Last Sell DT,Position Num of Days Since Last Sell,Opp Pos Num of Days Since Last Buy,Opp Pos Num of Days Since Last Sell
40,0,True,1,71.745,71.5775,0,4,16.11892546,0,-10.0498511,4,70.845,70.49,71.173,68.75346154,71.0911,70.91965,0.17145,2.000192166,68.84480783,31.19093071,28.56699439,65.0309728,61.00973965,4.02123315,6.59113311,16,4,3,71.97,4,1.333333333,100,1,70.939,4,1,4,0,0,0,0,12,0,0,0,0,0,0,0.0,0,0,0.0,0,1.780394382,1.908072067,0.2436182239,0.1134912754,-0.1891789595,1.276776848,1.908072067,1.204556774,-0.5036175344,0,0,0,12,1.0,7,7
37,0,False,1,75.585,75.627,0,4,16.77768097,0,-9.56904885,4,74.35,75.05,74.9416,71.59292308,75.04163333,74.93246667,0.1091666667,1.953344994,72.39665501,43.82202746,38.1600384,88.08361529,88.04931893,0.03429635121,0.03895129642,7,5,3,75.26,11,3.666666667,100,0,73.4,5,4,7,0,0,0,0,13,0,0,0,0,0,0,0.0,0,0,0.0,0,0.7128580946,1.199200533,0.5832221113,-0.9593604264,1.604260273,1.64556962,1.199200533,-0.5352860474,0.9327115257,0,0,0,13,5.0,12,12
240,0,False,1,36.6,36.65,0,6,1.964901992,1,-0.7056631869,6,36.35,36.4,36.26,37.15384615,36.42636667,36.3656,0.06076666667,1.045395479,35.30460452,33.39741829,30.16638273,39.17972667,32.74559391,6.434132761,19.64885041,28,6,1,35.8,-8,-8.0,100,2,37.39,5,10,7,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0.0,0,0.5494505495,0.9615384615,0.396238377,-1.098901099,1.811375438,0.6868131868,0.9615384615,0.264158918,0.1373626374,0,0,0,7,15.0,3,3
42,0,False,1,38.038,37.8745,0,4,-2.102242089,1,2.372188694,4,36.875,37.65,36.73,37.0,37.65963333,37.50898333,0.15065,1.117575296,35.7574247,40.99144403,30.48998609,56.9407072,57.69294929,-0.7522420889,-1.303871787,28,6,3,35.8,-8,-2.666666667,100,0,36.6,6,4,-8,0,0,0,0,15,0,0,0,0,0,0,0.0,0,0,0.0,0,1.030544489,1.195219124,0.1968222727,-2.390438247,8.177647974,3.088977424,1.195219124,-2.263456136,2.058432935,0,0,0,15,2.0,5,5
84,0,False,1,72.405,72.5425,0,4,6.016836383,0,-6.63491342,4,74.145,72.775,74.533,74.08,72.14846667,72.16251667,-0.01405,2.021677279,72.12332272,25.19642874,12.91636924,45.05067036,41.29883398,3.751836383,9.084606081,7,5,8,75.26,11,1.375,100,1,73.884,7,3,11,0,0,0,0,14,0,0,0,0,0,0,0.0,0,0,0.0,0,-0.5084163518,2.219168671,6.052971228,-1.642047406,1.861475933,-2.390930952,2.219168671,10.23058865,-1.8825146,0,0,0,14,5.0,0,0
111,0,False,2,38.175,38.1625,0,4,-0.2359808569,1,-0.1002128474,4,36.875,37.65,36.73,37.0,37.87086667,37.90043333,-0.02956666667,1.117575296,35.7574247,40.96938569,37.43680915,58.80696844,57.69294929,1.114019143,1.930945041,28,6,3,35.8,-8,-2.666666667,100,0,36.6,6,4,-8,0,0,0,0,16,0,0,0,0,0,0,0.0,0,0,0.0,0,1.394422311,1.726427623,0.5731831417,-2.390438247,9.047475437,3.452855246,1.726427623,-2.980552337,2.058432935,0,0,0,16,0.0,0,0
28,0,False,1,37.6,37.5845,0,4,4.506686867,1,-6.851803034,4,37.2,37.7,37.12,36.96923077,37.37006667,37.5926,-0.2225333333,1.11260011,36.08739989,27.05348815,11.24452771,55.27492749,51.52208678,3.752840714,7.283945485,28,6,4,35.8,-8,-2.0,100,0,36.6,6,5,-8,0,0,0,0,18,0,0,0,0,0,0,0.0,0,0,0.0,0,-0.2652519894,-0.1326259947,-0.01758965447,-1.98938992,3.429982621,1.061007958,-0.1326259947,0.1583068902,1.326259947,0,0,0,18,1.0,1,1
22,0,False,1,37.75,37.7,0,4,14.48259227,1,-17.68346179,4,37.5,37.1,37.6,36.87307692,37.47356667,37.29075,0.1828166667,1.146531724,36.35346828,26.11550117,-11.58806414,61.54877214,50.70079525,10.84797689,21.39606851,13,7,1,38.55,8,8.0,100,0,36.6,6,7,-8,0,0,0,0,19,0,0,0,0,0,0,0.0,0,0,0.0,0,1.752021563,1.886792453,0.2542846971,0.539083558,-0.6538749355,0.6738544474,1.886792453,2.288562274,-1.078167116,0,0,0,19,2.0,3,3
272,0,True,1,73.185,73.19,0,6,-10.54082064,0,7.700178683,6,72.775,73.58,72.734,74.23384615,72.75173333,72.67928333,0.07245,2.102332903,70.6726671,32.34846166,23.67011661,43.93576965,46.97735952,-3.041589866,-6.474586689,30,7,1,70.8825,12,12.0,100,1,73.884,7,6,11,0,0,0,0,17,0,0,0,0,0,0,0.0,0,0,0.0,0,-0.5368306605,-0.4552867627,-0.03712585725,-2.663767328,5.665664404,0.557216635,-0.4552867627,0.4609793942,1.094047295,0,0,0,17,3.0,0,0
29,0,True,1,37.875,37.8375,0,11,19.46135872,1,-23.7409876,11,37.2,37.1,37.48,36.91538462,37.64996667,37.35186667,0.2981,1.127637267,36.07236273,21.74489995,4.322122591,66.19637722,49.55809541,16.6382818,33.57328739,13,7,2,38.55,8,4.0,100,0,36.6,6,8,-8,0,0,0,0,20,0,0,0,0,0,0,0.0,0,0,0.0,0,2.088948787,2.291105121,0.4631614127,0.269541779,-0.4904062016,1.819407008,2.291105121,1.080709963,-0.269541779,0,0,0,20,1.0,1,1
