Num Of Trading Min,LastBuyScore,Position Num of Buys,Position Current Price Real,Position Current Price 10 Min avg,Security Trade Signal,Security Trade Signal Reason,Security Trade Score,Opp Security,Opp Security Trade Score,BuyReason,Open Price,Previous Closing Price,Short MAVG 5,Long MAVG 13,Short MAVG Min,Long MAVG Min,MAVG Min Diff,ATR Stoploss Range,ATR Stoploss,Slope 15 Min,Slope 15 Min Win Diff,RSI,Previous Day RSI,RSI Slope,RSI Gain Percent,Last AB Pattern,Last AB Age,Last AB Stop-Loss Level,Last AB Total Net,Last AB Net Age Ratio,Last Confirmed Signal,Last Confirmed AB Confirmation Level,Last Confirmed AB Age,Last Confirmed AB Total Net,Position Last Buy DT,Position Day Slope High,Daily Current Gain Loss Percent,Daily Max Gain Percent,Daily Max Gain Loss Ratio,Daily Max Loss Percent,Daily Max Loss Ratio,Daily Current Gain Loss Percent From Open,Daily Max Gain Percent From Open,Daily Max Gain Loss Ratio From Open,Daily Current Gain Loss Diff From Open Close,Position Last Sell DT,Position Num of Days Since Last Sell,Opp Pos Num of Days Since Last Buy,Opp Pos Num of Days Since Last Sell
80,-0.2523447922,1,37.57,37.4275,0,4,4.211517373,0,-4.14564756,4,37.26,37.3,38.003,36.24653846,37.24226667,37.11733333,0.1249333333,1.947283655,35.31271635,35.84678857,34.94903869,55.46738443,60.03817475,-4.570790319,-7.613140036,7,2,39.38,0,0.0,1,37.3,1,0,274,0.0,0.7238605898,0.7506702413,0.02012520754,-1.63538874,3.858289789,0.8310991957,0.7506702413,-0.06037562262,0.1072386059,274,1.0,2,2
30,0.5400071908,1,32.81,32.95,0,6,1.269360831,0,-2.401042159,6,32.431,32.57,35.07,35.94307692,32.69453333,32.56571667,0.1288166667,1.999386292,30.43161371,47.18069328,46.81222288,33.60244331,27.96769786,5.634745446,20.14733381,7,5,39.38,0,0.0,1,37.3,6,0,275,0.0,0.7368744243,1.596561253,1.37254268,-1.136014737,2.127629689,1.163647528,1.596561253,0.691173278,0.4267731041,275,3.0,2,2
115,-0.7721867117,2,32.706,32.7015,0,6,0.391913854,0,-5.604259999,6,32.431,32.57,35.07,35.94307692,32.5351,32.69553333,-0.1604333333,1.999386292,30.43161371,29.08465273,17.38511495,32.72499633,27.96769786,4.757298469,17.0099752,7,5,39.38,0,0.0,1,37.3,6,0,276,0.0,0.4175621738,2.394841879,4.735272245,-1.136014737,1.764886267,0.8443352779,2.394841879,3.713218142,0.4267731041,276,0.0,0,0
196,-0.910423758,3,32.655,32.658,0,6,-0.04690263284,0,-1.358205661,6,32.431,32.57,35.07,35.94307692,32.48963333,32.53756667,-0.04793333333,1.999386292,30.43161371,25.75834326,10.8753385,32.28617985,27.96769786,4.318481983,15.44096337,7,5,39.38,0,0.0,1,37.3,6,0,277,0.0,0.2609763586,2.394841879,5.110270513,-1.136014737,1.587002473,0.6877494627,2.394841879,4.08821641,0.4267731041,277,0.0,0,0
113,-0.876156842,1,33.03,33.04,0,6,2.54099091,0,-4.98429755,6,32.3,32.46,34.086,35.71923077,32.8295,32.7566,0.0729,1.93849579,30.36150421,35.49620568,25.81777412,41.80676503,31.09962027,10.70714476,34.42853856,14,1,32.2,3,3.0,1,37.3,7,0,278,0.0,1.756007394,2.094886014,0.709912081,-1.093653728,3.116542508,2.24892175,2.094886014,-0.3226873095,0.4929143561,278,1.0,1,1
34,-0.008366070724,1,33.63,33.5525,0,6,-10.76933809,0,9.281052525,6,33.28,32.71,33.2472,35.59815385,33.22006667,33.07448333,0.1455833333,1.914463465,31.36553653,51.74142549,51.80187037,40.06199105,39.07655991,0.9854311448,2.521796051,14,2,32.2,3,1.5,0,32.705,1,3,279,0.0,2.812595537,3.078569245,0.8188184785,0.7031488841,-1.48325506,1.070009172,3.078569245,6.183491268,-1.742586365,279,1.0,2,2
382,0.2833783992,2,34.16,34.166,0,6,-5.916786591,0,4.311230812,6,33.28,32.71,33.2472,35.59815385,33.97036667,33.8345,0.1358666667,1.914463465,31.36553653,34.09400765,18.436881,44.91454255,39.07655991,5.83798264,14.9398582,14,2,32.2,3,1.5,0,32.705,1,3,280,0.0,4.432895139,4.692754509,1.219456231,0.7031488841,-2.622566917,2.690308774,4.692754509,9.396986254,-1.742586365,280,0.0,0,0
54,-1.541943461,1,33.57,34.059,0,6,-16.06852554,0,16.37955848,6,34.345,34.43,33.291,35.73961538,33.94916667,34.08481667,-0.13565,1.868579265,32.47642073,33.50576641,26.07556985,43.27102177,47.09647039,-3.825448615,-8.122580277,14,3,32.2,3,1.0,0,32.705,2,3,281,0.0,-2.497821667,0.9003775777,3.059662405,-3.804821377,4.972900434,-2.250943944,0.9003775777,2.837379238,0.2468777229,281,1.0,0,0
21,-0.9921895564,1,29.29,29.1735,0,6,-7.366902584,0,5.232410071,6,29.155,28.33,30.26,33.59769231,28.71373333,28.4746,0.2391333333,2.043400701,27.1115993,51.09323823,-36.49167627,23.52247259,14.20091363,9.321558954,65.64055803,15,1,32.2,0,0.0,2,29.31,2,3,282,0.0,3.388633957,3.63572185,0.8983428502,0.8471584892,-2.153032518,0.4765266502,3.63572185,11.48595501,-2.912107307,282,3.0,1,1
66,-0.7622769855,1,26.82,26.915,0,6,-21.40303616,0,24.44241716,6,27.08,27.81,28.53,32.58923077,26.80966667,26.94161667,-0.13195,2.024991141,25.05500886,31.38749126,28.24384928,11.73836219,12.8452445,-1.106882316,-8.617059146,15,2,32.2,0,0.0,2,29.31,3,3,283,0.0,-3.55987055,-1.402373247,-3.025616498,-4.548723481,4.498018544,-0.934915498,-1.402373247,0.6555502413,2.624955052,283,1.0,0,0
226,4.716211413,2,26.53,26.381,0,6,-21.83445966,0,25.02706994,6,27.08,27.81,28.53,32.58923077,26.24106667,26.25645,-0.01538333333,2.024991141,25.05500886,44.46274815,35.71587203,11.30693869,12.8452445,-1.538305815,-11.97568341,15,2,32.2,0,0.0,2,29.31,3,3,284,0.0,-4.602660913,-1.402373247,-4.487997806,-6.436533621,11.80378334,-1.977705861,-1.402373247,-0.8068310663,2.624955052,284,0.0,0,0
53,-0.9955080096,1,28.505,28.4425,0,6,-9.067318599,0,9.815615746,6,28.64,27.84,28.333,31.86730769,28.15463333,28.10451667,0.05011666667,2.011911752,26.62808825,71.09841243,60.93963987,22.49135664,13.88713678,8.604219863,61.95819916,21,1,26.02,6,6.0,2,29.31,4,3,285,0.0,2.388649425,3.125,2.301095546,-0.3591954023,0.9870132283,-0.4849137931,3.125,11.2809806,-2.873563218,285,1.0,0,0
24,-1.341711003,1,27.505,27.329,0,6,-13.71789202,0,18.13098725,6,27.03,27.61,27.022,29.45923077,27.197,27.48226667,-0.2852666667,2.013575385,25.01642462,79.19913206,143.3360888,35.11860672,36.65034489,-1.531738173,-4.179328127,24,1,26.11,12,12.0,2,29.31,10,3,286,0.0,-0.3802969938,-0.2173125679,-0.03541856413,-3.513219848,11.00664675,1.720391163,-0.2173125679,0.4210873735,2.100688156,286,3.0,1,1
55,-0.9946117634,2,27.48,27.555,0,6,-13.86483581,0,17.31060202,6,27.03,27.61,27.022,29.45923077,27.4087,27.29943333,0.1092666667,2.013575385,25.01642462,42.27288684,67.73847537,34.97166292,36.65034489,-1.678681966,-4.5802624,24,1,26.11,12,12.0,2,29.31,10,3,287,0.0,-0.4708438971,0.6519377037,0.7319836587,-3.513219848,10.68853557,1.629844259,0.6519377037,-0.6375341543,2.100688156,287,0.0,1,1
193,-1.021916856,3,27.456,27.242,0,6,-14.00474959,0,18.81502591,6,27.03,27.61,27.022,29.45923077,27.09316667,27.4086,-0.3154333333,2.013575385,25.01642462,40.87146527,29.18679812,34.83174914,36.65034489,-1.818595745,-4.962015367,24,1,26.11,12,12.0,2,29.31,10,3,288,0.0,-0.5577689243,2.915610286,10.12702015,-3.513219848,10.38314884,1.542919232,2.915610286,4.002232157,2.100688156,288,0.0,0,0
36,1.687017015,1,29.39,29.3225,0,4,-0.04869154794,0,2.342779693,4,28.68,28.06,27.456,29.26230769,29.11023333,28.53786667,0.5723666667,1.978967652,26.70103235,37.23456632,29.03078155,49.32543042,40.3425835,8.982846914,22.26641463,24,2,26.11,12,6.0,0,27.77,1,12,289,0.0,4.739843193,4.846756949,0.518184991,2.138275125,-5.562868286,2.530292231,4.846756949,11.22734147,-2.209550962,289,1.0,1,1
24,-0.8180436632,1,30.66,30.5775,0,4,-5.58889827,0,4.7928695,4,30.3,29.84,28.391,29.17730769,30.38426667,30.14741667,0.23685,1.970405504,28.3295945,26.30479893,-48.14433044,50.70830863,52.36566844,-1.657359808,-3.164974033,24,3,26.11,12,4.0,0,27.77,4,12,290,0.0,2.747989276,2.848525469,0.2863799064,1.273458445,-1.877753739,1.206434316,2.848525469,4.677538471,-1.54155496,290,1.0,2,2
123,-0.7646875579,2,30.885,30.8075,0,4,-4.040981501,0,3.979386758,4,30.3,29.84,28.391,29.17730769,30.6499,30.71136667,-0.06146666667,1.970405504,28.3295945,31.7807433,14.05779318,52.2562254,52.36566844,-0.1094430394,-0.2089976939,24,3,26.11,12,4.0,0,27.77,4,12,291,0.0,3.502010724,3.987935657,1.937837367,1.273458445,-2.83796872,1.960455764,3.987935657,8.085459358,-1.54155496,291,0.0,0,0
23,-0.8941585329,1,25.995,26.0915,0,4,2.086817102,0,-5.62556872,4,26.125,25.84,28.133,28.04269231,25.93016667,25.908,0.02216666667,2.095794843,24.02920516,39.02050055,42.45101459,33.42995313,31.79467449,1.635278641,5.143246995,11,1,26.11,3,3.0,0,27.77,6,12,292,0.0,0.5998452012,2.205882353,3.542729011,-0.6578947368,0.8274604856,-0.5030959752,2.205882353,5.975687489,-1.102941176,292,2.0,1,1
77,0.1935661308,2,26.33,26.25,0,4,4.655814516,0,-8.35706156,4,26.125,25.84,28.133,28.04269231,26.04136667,26.09536667,-0.054,2.095794843,24.02920516,71.69563252,83.52949538,35.99895055,31.79467449,4.204276054,13.22320836,11,1,26.11,3,3.0,0,27.77,6,12,293,0.0,1.89628483,2.205882353,0.682935713,-0.7352941176,1.93498452,0.7933436533,2.205882353,3.11589419,-1.102941176,293,0.0,0,0
25,-1.207724747,1,26.33,26.335,0,4,1.481483045,0,-4.885685214,4,25.88,26.42,27.762,27.73230769,26.12176667,26.0327,0.08906666667,2.03662803,23.84337197,62.96826246,83.5419164,37.98870703,36.65568553,1.333021506,3.636602309,11,2,26.11,3,1.5,0,27.77,7,12,294,0.0,-0.340651022,0.1514004542,0.07449681698,-2.573807721,5.747715956,1.70325511,0.1514004542,-0.2349514997,2.043906132,294,1.0,1,1
219,-0.8873598969,2,25.83,25.85,0,4,-0.9445631308,0,-12.4898868,4,25.88,26.42,27.762,27.73230769,25.531,25.34788333,0.1831166667,2.03662803,23.84337197,59.05645494,53.6220861,35.56266086,36.65568553,-1.093024669,-2.981869398,11,2,26.11,3,1.5,0,27.77,7,12,295,0.0,-2.233156699,0.4920514762,1.340942706,-5.526116578,18.19728018,-0.1892505678,0.4920514762,0.3352356764,2.043906132,295,0.0,0,0
45,-0.6207850515,1,24.22,24.0585,0,6,-6.27087193,0,5.81500981,6,24.21,25.09,26.438,27.26384615,23.92153333,24.2093,-0.2877666667,2.05914106,22.15085894,51.01955377,48.83718008,30.35003029,32.49167145,-2.14164116,-6.59135423,11,3,26.11,3,1.0,2,25.73,1,3,296,0.0,-3.467516939,-2.989238741,-1.42968772,-5.619768832,12.09515811,0.03985651654,-2.989238741,9.054688891,3.507373456,296,1.0,1,1
151,-0.8015393409,2,24.12,24.075,0,6,-6.641408759,0,4.74328103,6,24.21,25.09,26.438,27.26384615,23.96506667,23.9607,0.004366666667,2.05914106,22.15085894,33.36858511,33.08952987,29.97949346,32.49167145,-2.51217799,-7.731759795,11,3,26.11,3,1.0,2,25.73,1,3,297,0.0,-3.866082104,-2.271821443,-3.621875556,-5.619768832,9.855314014,-0.3587086489,-2.271821443,4.346250668,3.507373456,297,0.0,0,0
25,-0.9279041689,1,24.55,24.47,0,6,-7.248018219,0,8.083022766,6,23.94,24.6,25.219,26.995,24.4055,24.43428333,-0.02878333333,1.975818317,21.96418168,39.20087162,49.88287655,33.47770269,31.84572091,1.631981781,5.124650139,25,1,26.11,0,0.0,2,25.73,4,3,298,0.0,-0.2032520325,0.1219512195,0.03965893317,-2.764227642,7.079119572,2.479674797,0.1219512195,-0.2875272655,2.682926829,298,1.0,1,1
73,-0.8992926295,2,24.815,24.731,0,6,-4.966264033,0,5.341966112,6,23.94,24.6,25.219,26.995,24.54493333,24.49386667,0.05106666667,1.975818317,21.96418168,45.32699607,54.26834573,35.75945688,31.84572091,3.913735967,12.28967615,25,1,26.11,0,0.0,2,25.73,4,3,299,0.0,0.8739837398,1.056910569,0.1933372992,-2.764227642,10.05684447,3.556910569,1.056910569,-2.642276423,2.682926829,299,0.0,1,1
195,-0.8498330526,3,24.6,24.55,0,6,-7.001376568,0,8.049316408,6,23.94,24.6,25.219,26.995,24.41206667,24.38061667,0.03145,1.975818317,21.96418168,31.78695097,20.69151653,33.72434434,31.84572091,1.878623432,5.899139281,25,1,26.11,0,0.0,2,25.73,4,3,300,0.0,0.0,1.300813008,1.692114482,-2.764227642,7.640954458,2.682926829,1.300813008,-1.797871637,2.682926829,300,0.0,0,0
88,-0.3567539028,1,24.755,24.745,0,6,-5.756156694,0,7.588794209,6,24.53,25.19,25.1736,26.826,24.6166,24.58775,0.02885,1.924676284,22.60532372,27.8608851,22.18428303,41.53101167,39.02516837,2.505843306,6.421095438,25,2,26.11,0,0.0,2,25.73,5,3,301,0.0,-1.726875744,-1.429138547,-0.4255077056,-3.374354903,5.559179375,0.8932115919,-1.429138547,3.318960103,2.620087336,301,1.0,1,1
327,0.4562891639,2,24.455,24.4525,0,6,-7.572340838,0,4.722917451,6,24.53,25.19,25.1736,26.826,24.308,24.25033333,0.05766666667,1.924676284,22.60532372,33.8471666,27.73533663,39.71482753,39.02516837,0.6896591618,1.767216365,25,2,26.11,0,0.0,2,25.73,5,3,302,0.0,-2.917824534,0.0,0.0,-4.80349345,9.057798288,-0.2977371973,0.0,0.0,2.620087336,302,0.0,0,0
21,-0.7753230312,1,24.99,24.82,0,6,-2.874704713,0,4.0986429,6,24.81,24.59,24.856,26.59461538,24.7296,24.70521667,0.02438333333,1.830707387,22.97929261,25.29183927,3.685740892,46.33043077,40.51205856,5.81837221,14.36207494,25,3,26.11,0,0.0,2,25.73,6,3,303,0.0,1.626677511,1.789345262,0.2910687698,0.2846685645,-0.3820277604,0.73200488,1.789345262,1.891947004,-0.8946726312,303,1.0,1,1
312,-1.80809842,2,24.78,24.75,0,6,-4.676141866,0,7.739380079,6,24.81,24.59,24.856,26.59461538,24.2557,24.48836667,-0.2326666667,1.830707387,22.97929261,77.24665182,42.22213188,44.52899362,40.51205856,4.016935057,9.915405931,25,3,26.11,0,0.0,2,25.73,6,3,304,0.0,0.7726718178,3.29402196,8.305382738,-4.107360716,20.04405392,-0.1220008133,3.29402196,11.25245403,-0.8946726312,304,0.0,0,0
30,-0.7797335013,1,21.957,21.8375,0,6,-13.23505256,0,21.8364085,6,21.16,21.31,22.583,25.29884615,21.69123333,21.43581667,0.2554166667,1.826268885,19.33373111,30.75676373,-0.4881277502,22.56687741,22.22269919,0.3441782116,1.54876871,25,6,26.11,0,0.0,2,25.73,11,3,305,0.0,3.036133271,3.14406382,0.3393405343,-0.9150633505,3.615595219,3.740028156,3.14406382,-1.873749907,0.703894885,305,3.0,1,1
